Target Strategy,Model Family,Model,N_Features,CV_MAE_mean,CV_MAE_std,CV_RMSE_mean,CV_RMSE_std,CV_R2_mean,CV_R2_std,Holdout_MAE_mean,Holdout_RMSE_mean,Holdout_R2_mean,CV_seconds,Fit_seconds,Predict_seconds,Feature Columns,Holdout_MAE_MU_DS1_LINEAR,Holdout_RMSE_MU_DS1_LINEAR,Holdout_R2_MU_DS1_LINEAR,Holdout_MAE_MU_DS2_LINEAR,Holdout_RMSE_MU_DS2_LINEAR,Holdout_R2_MU_DS2_LINEAR,Holdout_MAE_MU_DS3_LINEAR,Holdout_RMSE_MU_DS3_LINEAR,Holdout_R2_MU_DS3_LINEAR,Holdout_MAE_MU_DS4_LINEAR,Holdout_RMSE_MU_DS4_LINEAR,Holdout_R2_MU_DS4_LINEAR,Holdout_MAE_BETA_SVI,Holdout_RMSE_BETA_SVI,Holdout_R2_BETA_SVI
Fragility parameters,Structural + SVI + NDVI,Linear Regression,14,1.845695259143616e-15,8.356253179507305e-16,2.3862436403006625e-15,1.1090747359774074e-15,1.0,0.0,3.2396756649390118e-15,3.2469536347160588e-15,1.0,0.11101416600286029,0.06125070797861554,0.005854000017279759,"age_years, time_since_rehab, reconstructed_flag, spans, max_span_log1p, skew, cond, deck_area_log1p, operating_rating, HWB_CLASS, design_era_1989, SVI, ndvi_change, ndvi_loss",5.462692644504289e-15,5.463164963553736e-15,1.0,1.5967229677258182e-15,1.599739700457909e-15,1.0,7.569605299754195e-17,1.0591468716521582e-16,1.0,4.802318312022487e-15,4.804656654139223e-15,1.0,4.260948347444922e-15,4.261292168264211e-15,1.0
Fragility parameters,Structural + SVI,Linear Regression,12,1.8424772873565307e-15,8.243671057966376e-16,2.3789912291579227e-15,1.0950267761855338e-15,1.0,0.0,3.254675964091743e-15,3.2625282160275936e-15,1.0,0.10330545899341814,0.04750899999635294,0.005148083000676706,"age_years, time_since_rehab, reconstructed_flag, spans, max_span_log1p, skew, cond, deck_area_log1p, operating_rating, HWB_CLASS, design_era_1989, SVI",5.503639464815777e-15,5.5043852908232406e-15,1.0,1.5807054093628432e-15,1.5834917614609013e-15,1.0,9.969567680223976e-17,1.3235302996366964e-16,1.0,4.8213384947350254e-15,4.824045080631e-15,1.0,4.2680007747428296e-15,4.268365917259157e-15,1.0
Fragility parameters,Structural + SVI,Ridge Regression,12,2.7453551369115058e-05,1.4299220749510296e-06,3.854907435542034e-05,2.3667132441585734e-06,0.9999996949331855,3.7871080847057254e-08,7.050647384360804e-06,9.057000352507575e-06,0.9999999803104389,0.08338591700885445,0.04388245797599666,0.006498832983197644,"age_years, time_since_rehab, reconstructed_flag, spans, max_span_log1p, skew, cond, deck_area_log1p, operating_rating, HWB_CLASS, design_era_1989, SVI",6.155327081220625e-06,7.906905069489806e-06,0.9999999803104389,7.274477460011061e-06,9.344524173285974e-06,0.9999999803104389,8.393627839026886e-06,1.0782143277471384e-05,0.9999999803104389,1.1191503784264471e-05,1.4376191034929328e-05,0.9999999803104389,2.238300757280972e-06,2.875238207361385e-06,0.9999999803104389
Fragility parameters,Structural + SVI + NDVI,Ridge Regression,14,2.7463073267802166e-05,1.425754322741646e-06,3.856672734956011e-05,2.3456758409292234e-06,0.9999996946778983,3.7530586595235e-08,7.052656459707473e-06,9.059640597076008e-06,0.9999999802989576,0.1128258749959059,0.07038316599209793,0.007933958026114851,"age_years, time_since_rehab, reconstructed_flag, spans, max_span_log1p, skew, cond, deck_area_log1p, operating_rating, HWB_CLASS, design_era_1989, SVI, ndvi_change, ndvi_loss",6.1570810358954085e-06,7.90921004491742e-06,0.9999999802989576,7.276550315515018e-06,9.34724823513214e-06,0.9999999802989576,8.39601959538343e-06,1.0785286425762468e-05,0.9999999802989576,1.1194692792760864e-05,1.4380381899326966e-05,0.9999999802989576,2.23893855898264e-06,2.8760763802410408e-06,0.9999999802989576
Fragility parameters,Structural + SVI,Lasso Regression,12,8.14789905538823e-05,9.233402039525875e-07,0.00010000262051106596,1.2153185162731163e-06,0.9999936312868271,5.147666496068805e-08,8.172612713501197e-05,0.00010005563765306813,0.9999936193760124,0.13217958301538602,0.07438095900579356,0.007375707995379344,"age_years, time_since_rehab, reconstructed_flag, spans, max_span_log1p, skew, cond, deck_area_log1p, operating_rating, HWB_CLASS, design_era_1989, SVI",8.172612713501403e-05,0.00010005563765307024,0.9999968471296373,8.172612713501151e-05,0.00010005563765306693,0.9999977426194445,8.17261271350142e-05,0.00010005563765307175,0.9999983044563827,8.172612713501056e-05,0.00010005563765306692,0.9999990462567153,8.17261271350096e-05,0.00010005563765306486,0.9999761564178822
Fragility parameters,Structural + SVI + NDVI,Lasso Regression,14,8.14789905538823e-05,9.233402039525875e-07,0.00010000262051106596,1.2153185162731163e-06,0.9999936312868271,5.147666496068805e-08,8.172612713501197e-05,0.00010005563765306813,0.9999936193760124,0.15741324998089112,0.08675662497989833,0.006354707991704345,"age_years, time_since_rehab, reconstructed_flag, spans, max_span_log1p, skew, cond, deck_area_log1p, operating_rating, HWB_CLASS, design_era_1989, SVI, ndvi_change, ndvi_loss",8.172612713501403e-05,0.00010005563765307024,0.9999968471296373,8.172612713501151e-05,0.00010005563765306693,0.9999977426194445,8.17261271350142e-05,0.00010005563765307175,0.9999983044563827,8.172612713501056e-05,0.00010005563765306692,0.9999990462567153,8.17261271350096e-05,0.00010005563765306486,0.9999761564178822
Fragility parameters,Structural + SVI,Elastic Net,12,0.00012153188026963504,1.2978398669279018e-06,0.00014950020102961277,1.716718359771481e-06,0.9999879616679314,8.827289832224257e-08,0.00012188243137953578,0.00014921818539424326,0.9999879412308523,0.3324142500059679,0.15718100001686253,0.009331165987532586,"age_years, time_since_rehab, reconstructed_flag, spans, max_span_log1p, skew, cond, deck_area_log1p, operating_rating, HWB_CLASS, design_era_1989, SVI",0.00011937283554178613,0.00014614573817815598,0.9999932734047474,0.0001225098303389759,0.0001499862971982684,0.9999949274677269,0.00012564682513616858,0.00015382685621838395,0.9999959923464868,0.00013348931212915432,0.00016342825376867756,0.9999974554988846,0.00010839335375159389,0.0001327037816077303,0.9999580574364161
Fragility parameters,Structural + SVI + NDVI,Elastic Net,14,0.00012153188026963466,1.2978398669278567e-06,0.00014950020102961234,1.7167183597713713e-06,0.9999879616679314,8.827289832224257e-08,0.00012188243137953578,0.00014921818539424326,0.9999879412308523,0.16491508300532587,0.08741554198786616,0.006173625006340444,"age_years, time_since_rehab, reconstructed_flag, spans, max_span_log1p, skew, cond, deck_area_log1p, operating_rating, HWB_CLASS, design_era_1989, SVI, ndvi_change, ndvi_loss",0.00011937283554178613,0.00014614573817815598,0.9999932734047474,0.0001225098303389759,0.0001499862971982684,0.9999949274677269,0.00012564682513616858,0.00015382685621838395,0.9999959923464868,0.00013348931212915432,0.00016342825376867756,0.9999974554988846,0.00010839335375159389,0.0001327037816077303,0.9999580574364161
Fragility parameters,Structural + SVI,Decision Tree,12,0.00024558622739813006,1.2448897856354537e-05,0.0007623948793793177,0.0001460229666648357,0.999877020037494,4.7490155544830245e-05,6.58202431695765e-05,0.0004913894044920456,0.9999420412725121,0.27150137501303107,0.249769458983792,0.0101677080092486,"age_years, time_since_rehab, reconstructed_flag, spans, max_span_log1p, skew, cond, deck_area_log1p, operating_rating, HWB_CLASS, design_era_1989, SVI",5.746211705280108e-05,0.00042899074995337243,0.9999420412725121,6.790977469876276e-05,0.0005069890681267171,0.9999420412725121,7.835743234473424e-05,0.0005849873863000517,0.9999420412725121,0.00010447657645964898,0.0007799831817334032,0.9999420412725121,2.0895315291935483e-05,0.00015599663634668334,0.9999420412725121
Fragility parameters,Structural + SVI + NDVI,Decision Tree,14,0.00024578931558338137,1.1868906968782721e-05,0.0007627943896745532,0.0001456039096023098,0.9998769172996663,4.739221362074364e-05,6.581361921533111e-05,0.0004913923487875267,0.9999420405779584,0.3084675839927513,0.2195338330056984,0.006903833011165261,"age_years, time_since_rehab, reconstructed_flag, spans, max_span_log1p, skew, cond, deck_area_log1p, operating_rating, HWB_CLASS, design_era_1989, SVI, ndvi_change, ndvi_loss",5.745633423560211e-05,0.0004289933203700633,0.9999420405779585,6.790294046025419e-05,0.000506992105891897,0.9999420405779585,7.834954668491838e-05,0.0005849908914137183,0.9999420405779585,0.0001044660622465617,0.0007799878552182969,0.9999420405779585,2.089321244931916e-05,0.00015599757104365844,0.9999420405779585
Fragility parameters,Structural + SVI,Random Forest,12,0.004516717478995993,6.17670144383707e-05,0.008406206575576045,0.00023414502783005708,0.9855218596026672,0.0010428758408186503,0.0025986376138034274,0.004895059620733452,0.9942484720099548,0.9654848750215024,0.6332715000025928,0.0608423330122605,"age_years, time_since_rehab, reconstructed_flag, spans, max_span_log1p, skew, cond, deck_area_log1p, operating_rating, HWB_CLASS, design_era_1989, SVI",0.0022686518850664797,0.004273464748259364,0.9942484720099548,0.0026811340459876624,0.005050458338851978,0.9942484720099548,0.003093616206908848,0.005827451929444588,0.9942484720099548,0.004124821609211783,0.007769935905926107,0.9942484720099548,0.0008249643218423637,0.0015539871811852226,0.9942484720099548
Fragility parameters,Structural + SVI + NDVI,Random Forest,14,0.00492383456415137,0.00037454624153152526,0.008949325911852412,0.0005871926366658966,0.9835709521972373,0.001990868563353188,0.0029028833703587473,0.005277541724483503,0.9933145504298688,0.4548059169901535,0.3005881250137463,0.04197037499397993,"age_years, time_since_rehab, reconstructed_flag, spans, max_span_log1p, skew, cond, deck_area_log1p, operating_rating, HWB_CLASS, design_era_1989, SVI, ndvi_change, ndvi_loss",0.002534263259837008,0.0046073776959776516,0.9933145504298687,0.002995038397989177,0.005445082731609969,0.9933145504298687,0.0034558135361413634,0.006282787767242253,0.9933145504298688,0.0046077513815218196,0.008377050356323034,0.9933145504298687,0.0009215502763043677,0.001675410071264605,0.9933145504298687
Fragility parameters,Structural + SVI,HistGradientBoosting,12,0.006571623697138985,6.103093391696528e-05,0.008876492788238526,0.00010145310210941537,0.9838861501037641,0.00023454354638794057,0.006584658286496061,0.008166483083503626,0.9839919880581418,13.977626332984073,5.303742541000247,0.07179129097494297,"age_years, time_since_rehab, reconstructed_flag, spans, max_span_log1p, skew, cond, deck_area_log1p, operating_rating, HWB_CLASS, design_era_1989, SVI",0.005748511203166705,0.007129469358582591,0.9839919880569521,0.006793695058308093,0.008425736515169329,0.9839919880551251,0.00783887891085688,0.009722003667580305,0.9839919880675367,0.010451838550229084,0.012962671564418368,0.9839919880486556,0.002090367709919549,0.0025925343117675368,0.9839919880624391
Fragility parameters,Structural + SVI + NDVI,HistGradientBoosting,14,0.006571623697138985,6.103093391696528e-05,0.008876492788238526,0.00010145310210941537,0.9838861501037641,0.00023454354638794057,0.006584658286496061,0.008166483083503626,0.9839919880581418,9.6932036250073,4.719589833985083,0.041498417005641386,"age_years, time_since_rehab, reconstructed_flag, spans, max_span_log1p, skew, cond, deck_area_log1p, operating_rating, HWB_CLASS, design_era_1989, SVI, ndvi_change, ndvi_loss",0.005748511203166705,0.007129469358582591,0.9839919880569521,0.006793695058308093,0.008425736515169329,0.9839919880551251,0.00783887891085688,0.009722003667580305,0.9839919880675367,0.010451838550229084,0.012962671564418368,0.9839919880486556,0.002090367709919549,0.0025925343117675368,0.9839919880624391
Fragility parameters,Structural + SVI,Support Vector Regressor (LinearSVR),12,0.008859919449061051,0.00028743896445386345,0.009274580091874684,0.00013332107576586192,0.9455067260380807,0.0033477905933421673,0.008992398312121504,0.009277417316326846,0.9433061896204145,0.27290008301497437,0.15118512499611825,0.0056899999908637255,"age_years, time_since_rehab, reconstructed_flag, spans, max_span_log1p, skew, cond, deck_area_log1p, operating_rating, HWB_CLASS, design_era_1989, SVI",0.007934258900314599,0.008891309939749155,0.9751025720113824,0.008952703133809711,0.009134728747152982,0.9811846213373953,0.009628799303188133,0.009676781287086792,0.9841405658207402,0.009071070503534994,0.009163332251635632,0.9920006401720476,0.009375159719760091,0.009520934356009677,0.7841025487605071
Fragility parameters,Structural + SVI + NDVI,Support Vector Regressor (LinearSVR),14,0.008837674064477809,0.00031355325674366143,0.009280072362133572,0.00015488542223965798,0.945308851466359,0.003271341329109669,0.009114225314556424,0.009337014526509734,0.9430301129118233,0.3071297090209555,0.1574623330088798,0.005859750002855435,"age_years, time_since_rehab, reconstructed_flag, spans, max_span_log1p, skew, cond, deck_area_log1p, operating_rating, HWB_CLASS, design_era_1989, SVI, ndvi_change, ndvi_loss",0.008196861682895972,0.008836148524379818,0.9754105394943656,0.00882985373070849,0.009078395399673849,0.9814159724852228,0.00955588621741567,0.009621966971560552,0.9843197290883658,0.009557380210866162,0.00959854504850965,0.9912227356194517,0.00943114473089583,0.009550016688424812,0.7827815878717103
Fragility parameters,Structural + SVI + NDVI,AdaBoost,14,0.008108985443733977,7.351088716046675e-05,0.010382229549968112,0.00021482062877267578,0.977949289940975,0.0008238439622081169,0.008497407993823859,0.010044780330237396,0.9757814491352808,4.52775333399768,5.299706999998307,0.06403579100151546,"age_years, time_since_rehab, reconstructed_flag, spans, max_span_log1p, skew, cond, deck_area_log1p, operating_rating, HWB_CLASS, design_era_1989, SVI, ndvi_change, ndvi_loss",0.007418372058100213,0.008769252669254953,0.975781449135281,0.008767166977754743,0.01036366224548301,0.9757814491352815,0.010115961897408677,0.01195807182171032,0.975781449135285,0.013487949196546216,0.015944095762282038,0.9757814491352801,0.0026975898393094455,0.003188819152456657,0.9757814491352763
Fragility parameters,Structural + SVI,AdaBoost,12,0.008108985443734068,7.351088716053737e-05,0.010382229549968201,0.00021482062877275663,0.9779492899409746,0.0008238439622089484,0.008497407993824143,0.010044780330237719,0.9757814491352799,4.590774999989662,4.5530085419886746,0.041732334007974714,"age_years, time_since_rehab, reconstructed_flag, spans, max_span_log1p, skew, cond, deck_area_log1p, operating_rating, HWB_CLASS, design_era_1989, SVI",0.007418372058100133,0.008769252669254837,0.9757814491352816,0.008767166977755278,0.010363662245483584,0.9757814491352789,0.010115961897409447,0.011958071821711283,0.9757814491352811,0.013487949196546582,0.01594409576228242,0.975781449135279,0.0026975898393092677,0.0031888191524564687,0.9757814491352791
